Frame,GFP_Treated_Fixed,GFP_Control_Fixed,mCherry_Treated_Fixed,mCherry_Control_Fixed
1,1.0,1.0,1.0,1.0
2,0.9901861083468182,0.9936231949816576,0.799477026315655,0.9985761121113135
3,0.9744229030196424,0.9859649754934635,0.6927254406478744,1.0087376133082542
4,0.9526793411217617,0.957891786124388,0.6221073159491609,1.015474629117638
5,0.9365739464325125,0.9484388188237153,0.5742868822314722,1.0163718080677648
6,0.9240778285451117,0.9467936654849226,0.5359906544420739,1.0230102835644592
7,0.9143395033900655,0.9423064355117903,0.494967150394615,1.0208562420394287
8,0.9035072013298364,0.9347729140165353,0.47099932321790183,1.0199396634560391
9,0.8930834870275127,0.9287439942486482,0.44427457706064916,1.02229774831234
10,0.8794997310194131,0.9224653759835539,0.4262960759298365,1.021462622532714
11,0.8744954605378719,0.934444841729009,0.4030188283283495,1.0175988768186297
12,0.8747385670955536,0.943905093552324,0.37986330698579207,0.9969724306292309
13,0.8691863594742875,0.958979355070687,0.36345130640990714,0.9850222392133422
14,0.8456545821431773,0.9344359451069014,0.3606923869808706,0.9915675628261417
15,0.8249086121874528,0.9115808094489363,0.357264689759248,1.0188588252079755
16,0.8074356058320082,0.8955552521850302,0.3501279743058947,1.0262956759276325
17,0.790731717494106,0.8846491253746116,0.34351824099333406,1.0396282009788265
18,0.777667463986028,0.8759823706797527,0.3341761175557108,1.039409881959516
19,0.7722728324152393,0.8849071868459863,0.32117706435349624,1.0233713762265944
20,0.764894626131614,0.8787722421157398,0.31432824909846496,1.035621987695044
21,0.7565648988259158,0.8773136312524267,0.30732041727541964,1.0225610944634211
22,0.7396192393554382,0.860895789312452,0.30280567895493493,1.0380221504173934
23,0.7272145991553217,0.8448292652999143,0.2979643929922697,1.0408984676080555
24,0.7187234387966819,0.8412393112371774,0.29144008209926725,1.0461316328786516
25,0.7112438827631274,0.847062418173132,0.2837462735741103,1.044927196758161
26,0.7049314570619517,0.8441608184956643,0.28003085096329067,1.0447683379591495
27,0.6934938016781014,0.8307263402370074,0.27558036792992224,1.0438913234771066
28,0.6895170649275997,0.8336301836987617,0.26873416692391033,1.032915110682469
29,0.6887269343642732,0.8422320400343136,0.2606996202948905,1.0293030509528658
30,0.6865845247996484,0.854319042195712,0.25194232916153547,1.003853739742119
31,0.6861111484370138,0.8609592239414108,0.24554573126288284,0.9972309654342839
32,0.6746661334170546,0.8526395862958511,0.24510921954416595,0.9977619754121567
33,0.6699950775622338,0.8496267640480846,0.23824119213907105,0.9925818891765602
34,0.6662572332843877,0.8594496270127171,0.23425666367006673,0.9881186586595843
35,0.6467350200905188,0.8337028216346152,0.23403398071031392,1.0049993759312628
36,0.6362932892634191,0.8239636163167666,0.23436322492518863,1.0101855067474512
37,0.6274199290007101,0.812559868566847,0.23251248020255733,1.0147226277672736
38,0.6187260400098423,0.8083791817866575,0.2278882883526458,1.0153099960568188
39,0.6143447782683366,0.8086006648960833,0.22328814294076915,1.0132821545940724
40,0.6065472411280382,0.8035744948773107,0.22168724098981893,1.0196722773768827
