Frame,GFP_Treated_Fixed,GFP_Control_Fixed,mCherry_Treated_Fixed,mCherry_Control_Fixed
1,1.0,1.0,1.0,1.0
2,1.0226602650055392,1.0210165957411301,0.7589341811477134,1.0781467735656944
3,1.00765726295836,1.0014477379607016,0.6333337309624266,0.9494018312143301
4,0.9599496149432788,1.0168602004431886,0.5931081196725265,1.0272868940489972
5,0.9742260055192702,1.0200918366784135,0.5513619401533637,0.9801333152435088
6,0.9740636862828693,1.0080295221446491,0.4740312069685364,0.972900766746507
7,0.9405393255690371,0.9728530393941138,0.4289025177701307,0.9020438542991439
8,0.9431123378700667,1.0437350649431458,0.3989361520049584,0.9912430879330304
9,0.9691156297395696,0.9963769074127945,0.43889880944662996,0.9384563885187096
10,0.930114152733398,0.9570310185318096,0.3594410026476912,0.926603580517259
11,0.9555324396216938,1.014302016212346,0.3679098799592344,0.9896680052291427
12,0.9134925380249335,1.000186818584164,0.3779692390675771,0.9685107721100554
13,0.9209246669606351,1.120247528260023,0.3399611533664057,0.8676811338769578
14,0.886877543589012,1.0333744824481748,0.3470154738226073,0.9691303063308891
15,0.9037399049430657,0.9468203434548653,0.30631084049281815,1.027328230143142
16,0.8728572000290811,0.9797624985663335,0.3316071044217221,1.0166843126986762
17,0.8587380285659998,0.9296053149816482,0.31294080426535,0.9655142856780577
18,0.828720002751985,0.9563161298543308,0.3047170393575006,0.9236494445620846
19,0.8474504664817541,0.9866090249074002,0.2512319154398513,0.9183120165040061
20,0.8344369809746139,0.9157862552151165,0.30739823504547237,0.9384558813273703
21,0.8408938413979209,0.9229460314910231,0.2794410026476912,0.9928914597854326
22,0.8287938504584463,0.8616920219979235,0.2591211532626764,0.9174959456392322
23,0.8013112105241985,0.8283219236346157,0.2925140099424562,1.0016559797224902
24,0.8033016117795365,0.8453009186354861,0.27614209880737206,1.0207332211595155
25,0.7999726883182867,0.8803952351502913,0.25370617111708704,1.0217128612311817
26,0.7548971203609888,0.782252828477205,0.2519828120502361,1.0544916231010437
27,0.769399841927397,0.815403864019264,0.2407957076803789,0.9990535809610513
28,0.7413629018370385,0.8032643330230061,0.2450454982767966,1.0801620983520086
29,0.7672133981701278,0.8111703936809215,0.2258781854628533,1.010202660979361
30,0.7501567117026653,0.8431520099402761,0.23303291590922653,1.0005962034192304
31,0.7759524597713447,0.8263783598176843,0.2155714319055856,0.9681258138836021
32,0.72417871228231,0.8036102514612082,0.2185698318806905,1.0243489882166772
33,0.7056456961905355,0.8769313838392165,0.21173863321050052,0.9441128399291452
34,0.7225301233849979,0.8640039903657615,0.21206226871601247,1.0268043014897474
35,0.7156439678731771,0.8205930648585755,0.18026808844999861,0.9356397014164585
36,0.6695782994117009,0.8140701122650996,0.21177805035540265,1.0276203723545216
37,0.695556767210744,0.7909737632319812,0.21808344505846447,0.9627478105183876
38,0.7039186798840357,0.760007557596622,0.2053039917638913,1.049398154077121
39,0.6885119354078728,0.7864632470144735,0.2243827197311336,0.9911200940332742
40,0.6544194833876747,0.7859669968919664,0.2040563353984114,1.0971897795873238
